iter	Passed	Remaining
910	2860	279
911	2862	276
912	2867	273
913	2870	270
914	2872	266
915	2874	263
916	2876	260
917	2882	257
918	2885	254
919	2888	251
920	2890	247
921	2892	244
922	2897	241
923	2900	238
924	2903	235
925	2905	232
926	2907	228
927	2912	225
928	2915	222
929	2920	219
930	2922	216
931	2923	213
932	2929	210
933	2931	207
934	2933	203
935	2935	200
936	2937	197
937	2942	194
938	2944	191
939	2946	188
940	2948	184
941	2950	181
942	2951	178
943	2956	175
944	2959	172
945	2960	169
946	2962	165
947	2964	162
948	2965	159
949	2967	156
950	2970	153
951	2971	149
952	2973	146
953	2975	143
954	2977	140
955	2978	137
956	2979	133
957	2981	130
958	2983	127
959	2986	124
960	3002	121
961	3003	118
962	3005	115
963	3006	112
964	3008	109
965	3009	105
966	3011	102
967	3012	99
968	3015	96
969	3017	93
970	3019	90
971	3021	87
972	3022	83
973	3024	80
974	3026	77
975	3028	74
976	3031	71
977	3033	68
978	3034	65
979	3036	61
980	3037	58
981	3039	55
982	3040	52
983	3042	49
984	3045	46
985	3047	43
986	3049	40
987	3051	37
988	3052	33
989	3054	30
990	3056	27
991	3057	24
992	3060	21
993	3062	18
994	3064	15
995	3065	12
996	3067	9
997	3068	6
998	3070	3
999	3072	0
